filter,rho,mse
BlockSF,256.0,NaN
FullSF,1.0,0.7138280681582838
FullSF,4.0,0.4971926404935022
FullSF,32.0,0.20765642597804732
FullSF,64.0,0.16510379903446049
FullSF,8.0,0.3752405373874362
FullSF,128.0,0.21228163963703603
FullSF,256.0,0.19583902001448525
FullSF,16.0,0.29304219270207904
DiagSF,2.0,0.6005419985201111
DiagSF,1.0,0.7235883727895471
DiagSF,16.0,0.3080849934240415
DiagSF,64.0,0.2552164181900552
DiagSF,8.0,0.3905706431376244
DiagSF,256.0,NaN
DiagSF,128.0,0.1784242346922252
DiagSF,32.0,0.20480655677253906
DiagSF,4.0,0.494802294971863
BlockSF,1.0,0.7239573004102294
BlockSF,16.0,0.28786635569463026
BlockSF,128.0,0.14595865322611182
BlockSF,64.0,0.15715640143444032
BlockSF,256.0,NaN
BlockSF,32.0,0.2001170778784442
BlockSF,8.0,0.3892815248423778
BlockSF,4.0,0.49178394694554906
FullSF,1.0,0.728965016283709
FullSF,64.0,0.20809854176777867
FullSF,32.0,0.18606620566530396
FullSF,8.0,0.36322898148952065
FullSF,16.0,0.28845978719785204
FullSF,4.0,0.4988104257188815
FullSF,128.0,0.21441423914602986
FullSF,256.0,NaN
DiagSF,2.0,0.6055941463308931
DiagSF,1.0,0.754803979103731
DiagSF,8.0,0.38849756157251025
DiagSF,64.0,0.23608716161017226
DiagSF,4.0,0.4964892895724128
DiagSF,256.0,NaN
DiagSF,128.0,0.17282517633936437
DiagSF,32.0,0.22526317125443984
DiagSF,16.0,0.30886202569627474
BlockSF,128.0,0.19739990481673866
BlockSF,64.0,0.1910130134765017
BlockSF,32.0,0.23617579882804546
BlockSF,1.0,0.718166863521938
BlockSF,16.0,0.28510097777649107
BlockSF,8.0,0.38150199932564505
BlockSF,4.0,0.5099876312152314
BlockSF,256.0,NaN
FullSF,128.0,0.10169421546429305
FullSF,64.0,0.17315060962048467
FullSF,8.0,0.3800620352735483
FullSF,1.0,0.7351392784826687
FullSF,4.0,0.48339547992149046
FullSF,32.0,0.19632225685224353
FullSF,256.0,NaN
FullSF,16.0,0.30152405847632147
DiagSF,2.0,0.6234351926480085
DiagSF,1.0,0.7271804843764624
DiagSF,256.0,NaN
DiagSF,32.0,0.21356775079250953
DiagSF,128.0,0.2628652448791353
DiagSF,16.0,0.31464034710940325
DiagSF,64.0,0.23044169330881883
DiagSF,4.0,0.48539679784964435
DiagSF,8.0,0.3976364985157983
BlockSF,1.0,0.7238243761425861
BlockSF,256.0,NaN
BlockSF,16.0,0.2973604563774905
BlockSF,32.0,0.19808536747684058
BlockSF,64.0,0.16856399721708143
BlockSF,4.0,0.5023434739831095
BlockSF,128.0,0.1699647625560518
BlockSF,8.0,0.38380066650421024
FullSF,1.0,0.7197240469879325
FullSF,16.0,0.31065216616320507
FullSF,32.0,0.23941783804433295
FullSF,256.0,NaN
FullSF,64.0,0.20585533660703317
