filter,sparse_input,beta,dim,mse
BlockSF,false,0.035355339059327376,64,0.5282501887558412
BlockSF,true,0.1,64,0.7180538696936363
BlockSF,false,0.025,128,0.6939619170291604
BlockSF,true,0.1,128,0.8484908727832896
BlockSF,false,0.017677669529663688,256,0.7722193811927016
BlockSF,false,0.0125,512,0.86626638116467
BlockSF,true,0.1,256,0.8606132720342734
BlockSF,false,0.008838834764831844,1024,0.9182517134200628
BlockSF,true,0.1,512,0.9454330429429924
BlockSF,false,0.00625,2048,0.9652754892527813
BlockSF,true,0.1,1024,0.9609272398101665
BlockSF,true,0.1,2048,0.9813006252275023
FullSF,false,0.1,8,0.22447539325725155
FullSF,true,0.1,8,0.23068522325809787
FullSF,false,0.07071067811865475,16,0.3250178702809469
FullSF,false,0.05,32,0.44743200790877735
FullSF,true,0.1,16,0.3654140168155405
FullSF,true,0.1,32,0.5521375525751007
FullSF,false,0.035355339059327376,64,0.5437879437686356
FullSF,true,0.1,64,0.698468528476178
FullSF,false,0.025,128,0.6835048574061543
FullSF,true,0.1,128,0.8438908178966875
FullSF,false,0.017677669529663688,256,0.8265836034808722
FullSF,true,0.1,256,0.88203510920413
FullSF,false,0.0125,512,0.8480412128564075
FullSF,true,0.1,512,0.9244696784169104
FullSF,false,0.008838834764831844,1024,0.9251297940247049
DiagSF,false,0.1,8,0.2773130454527992
DiagSF,true,0.1,8,0.24735120691980314
DiagSF,false,0.05,32,0.4638759462726843
DiagSF,false,0.07071067811865475,16,0.35496815792942776
DiagSF,true,0.1,32,0.561180363588697
DiagSF,true,0.1,16,0.35294902130057604
DiagSF,false,0.035355339059327376,64,0.5570180409557444
DiagSF,true,0.1,64,0.7902544879405661
DiagSF,false,0.025,128,0.7143966842996213
DiagSF,true,0.1,128,0.9549867711524019
DiagSF,false,0.017677669529663688,256,0.7855893164738519
DiagSF,false,0.0125,512,0.8770795541230145
DiagSF,true,0.1,256,0.8814935539691723
DiagSF,false,0.008838834764831844,1024,0.9324038364583993
DiagSF,true,0.1,512,0.9123673266597979
DiagSF,false,0.00625,2048,0.9568239740769103
DiagSF,true,0.1,1024,0.9806912661379766
DiagSF,true,0.1,2048,0.9830280801082759
BlockSF,false,0.1,8,0.21312071097293644
BlockSF,true,0.1,8,0.23315042330500005
BlockSF,false,0.05,32,0.4424589941206004
BlockSF,false,0.07071067811865475,16,0.36003609175440043
BlockSF,true,0.1,16,0.36049216063088096
BlockSF,true,0.1,32,0.5257840932628085
BlockSF,false,0.035355339059327376,64,0.564825853656752
BlockSF,true,0.1,64,0.6467279254901447
BlockSF,false,0.025,128,0.6880488251804955
BlockSF,false,0.017677669529663688,256,0.7797884002160927
BlockSF,true,0.1,128,0.811787550630374
BlockSF,false,0.0125,512,0.8759740417948606
BlockSF,true,0.1,256,0.8709843469250704
BlockSF,false,0.008838834764831844,1024,0.9325010192925545
BlockSF,true,0.1,512,0.9331621042667727
BlockSF,false,0.00625,2048,0.9529856936328381
BlockSF,true,0.1,1024,0.9648529980374224
BlockSF,true,0.1,2048,0.985196836105017
FullSF,false,0.1,8,0.2594263550723848
FullSF,true,0.1,8,0.23592743217229456
FullSF,false,0.05,32,0.4661782256902866
FullSF,false,0.07071067811865475,16,0.3211058773865529
FullSF,true,0.1,16,0.3654301837630897
FullSF,true,0.1,32,0.5105374877707877
FullSF,false,0.035355339059327376,64,0.5604652122475783
FullSF,true,0.1,64,0.7210624359138447
FullSF,false,0.025,128,0.6854493759556027
FullSF,true,0.1,128,0.8700969776854264
FullSF,false,0.017677669529663688,256,0.7990006600812051
FullSF,true,0.1,256,0.8727628133993017
FullSF,false,0.0125,512,0.8696840839769293
FullSF,true,0.1,512,0.9190866279650183
DiagSF,false,0.1,8,0.2460874266655317
DiagSF,true,0.1,8,0.2690527579255222
DiagSF,false,0.05,32,0.4647824644852424
DiagSF,false,0.07071067811865475,16,0.3839603095179
DiagSF,true,0.1,32,0.5196714261520299
DiagSF,true,0.1,16,0.36532955787543064
DiagSF,false,0.035355339059327376,64,0.631616205500738
DiagSF,true,0.1,64,0.7383762956580461
DiagSF,false,0.025,128,0.7228316297252496
DiagSF,true,0.1,128,0.9496880401513564
DiagSF,false,0.017677669529663688,256,0.8072215048277628
DiagSF,true,0.1,256,0.9092602138374177
DiagSF,false,0.0125,512,0.8856177856129483
DiagSF,true,0.1,512,0.9169731312981322
DiagSF,false,0.008838834764831844,1024,0.9397708657926854
DiagSF,false,0.00625,2048,0.9622226563074007
DiagSF,true,0.1,1024,0.9687011754852543
DiagSF,true,0.1,2048,0.9819282575206626
BlockSF,false,0.1,8,0.2086004110167305
BlockSF,true,0.1,8,0.24580229793346123
BlockSF,false,0.05,32,0.46809077409715694
BlockSF,false,0.07071067811865475,16,0.3626501687014279
BlockSF,true,0.1,16,0.3828287009746524
BlockSF,true,0.1,32,0.5329947768595182
BlockSF,false,0.035355339059327376,64,0.5899267159804955
BlockSF,true,0.1,64,0.7309027997028844
BlockSF,false,0.025,128,0.72150648876199
BlockSF,true,0.1,128,0.8095161806911807
BlockSF,false,0.017677669529663688,256,0.8187833830843962
BlockSF,false,0.0125,512,0.8824270906929272
BlockSF,true,0.1,256,0.883548538511091
BlockSF,false,0.008838834764831844,1024,0.9341337839971554
BlockSF,true,0.1,512,0.9100478904685896
BlockSF,false,0.00625,2048,0.9577875208287995
BlockSF,true,0.1,1024,0.9459023287738085
BlockSF,true,0.1,2048,0.9737857778635458
FullSF,false,0.1,8,0.23167808887606173
FullSF,true,0.1,8,0.2554885197721483
FullSF,false,0.07071067811865475,16,0.3443689540746676
FullSF,false,0.05,32,0.4476368419288252
FullSF,true,0.1,16,0.3535780526198712
FullSF,true,0.1,32,0.5667263790443484
FullSF,false,0.035355339059327376,64,0.5369667985031847
FullSF,true,0.1,64,0.73115471512237
FullSF,false,0.025,128,0.6849557356513111
FullSF,true,0.1,128,0.8323696080810685
FullSF,false,0.017677669529663688,256,0.781383443986409
FullSF,true,0.1,256,0.8718092644419456
FullSF,false,0.0125,512,0.8811953047479295
FullSF,true,0.1,512,0.916032688954213
FullSF,false,0.008838834764831844,1024,0.9151626082953191
DiagSF,false,0.1,8,0.2829043103141251
DiagSF,true,0.1,8,0.26423375067317795
DiagSF,false,0.05,32,0.45738793431619035
DiagSF,false,0.07071067811865475,16,0.37562720218014295
DiagSF,true,0.1,32,0.5655558492049989
DiagSF,false,0.035355339059327376,64,0.5740026705404323
DiagSF,true,0.1,16,0.369703869733488
DiagSF,true,0.1,64,0.7731287744152687
DiagSF,false,0.025,128,0.717635868105843
DiagSF,true,0.1,128,0.9346946018499066
DiagSF,false,0.017677669529663688,256,0.8093010172827966
